Date : 2020-01-10 10:30:39
Directory : c:\Users\AORUS\Desktop\Work_Echart\EChartSimple
Total : 963 files,  175214 codes, 10070 comments, 13467 blanks, all 198751 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |        308 |    131,790 |      5,541 |      7,148 |    144,479 |
| JSON       |         12 |     16,645 |          0 |         11 |     16,656 |
| CSS        |        310 |     16,056 |      3,645 |      4,819 |     24,520 |
| HTML       |        328 |     10,233 |        884 |      1,487 |     12,604 |
| XML        |          5 |        490 |          0 |          2 |        492 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                 | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                    |        963 |    175,214 |     10,070 |     13,467 |    198,751 |
| .idea                                                                                |          4 |        461 |          0 |          0 |        461 |
| css                                                                                  |        310 |     16,056 |      3,645 |      4,819 |     24,520 |
| css\Tool                                                                             |          3 |        567 |        112 |         85 |        764 |
| css\展示版                                                                              |        102 |      4,483 |      1,109 |      1,342 |      6,934 |
| css\展示版\政府视角                                                                         |         28 |        976 |        316 |        207 |      1,499 |
| css\展示版\能源企业视角                                                                       |         15 |        940 |        201 |        276 |      1,417 |
| css\展示版\能源客户视角                                                                       |         39 |      1,703 |        427 |        557 |      2,687 |
| css\展示版\能源服务市场                                                                       |         19 |        773 |        140 |        288 |      1,201 |
| css\控制版                                                                              |         13 |      1,160 |         21 |         81 |      1,262 |
| css\监控版                                                                              |        179 |      9,493 |      2,349 |      3,277 |     15,119 |
| css\监控版\能源交易                                                                         |         24 |      2,087 |        290 |        559 |      2,936 |
| css\监控版\能源交易\交易总览                                                                    |         13 |        769 |        149 |        286 |      1,204 |
| css\监控版\能源交易\交易详情                                                                    |         11 |      1,318 |        141 |        273 |      1,732 |
| css\监控版\能源分析                                                                         |         40 |      1,615 |        386 |        579 |      2,580 |
| css\监控版\能源分析\企业分析                                                                    |         10 |        229 |         51 |        120 |        400 |
| css\监控版\能源分析\区域分析                                                                    |         11 |        425 |         94 |        187 |        706 |
| css\监控版\能源分析\客户特征分析                                                                  |          7 |        507 |         67 |         88 |        662 |
| css\监控版\能源分析\异常用能分析                                                                  |         11 |        368 |        137 |        145 |        650 |
| css\监控版\能源应用                                                                         |         13 |        619 |        117 |        210 |        946 |
| css\监控版\能源服务                                                                         |         35 |      1,846 |        745 |        830 |      3,421 |
| css\监控版\能源监控                                                                         |         16 |        785 |        173 |        256 |      1,214 |
| css\监控版\能源监控\企业监控                                                                    |          8 |        376 |         77 |        116 |        569 |
| css\监控版\能源监控\全景分析                                                                    |          7 |        321 |         61 |        101 |        483 |
| css\监控版\能源管理                                                                         |         29 |      1,460 |        374 |        434 |      2,268 |
| css\监控版\驾驶舱                                                                          |         21 |        993 |        238 |        374 |      1,605 |
| font_family                                                                          |          1 |         29 |          0 |          2 |         31 |
| font_family\icomoon                                                                  |          1 |         29 |          0 |          2 |         31 |
| html                                                                                 |        330 |     10,242 |        884 |      1,487 |     12,613 |
| html\.vs                                                                             |          2 |          9 |          0 |          0 |          9 |
| html\Tool                                                                            |          3 |        124 |          0 |         12 |        136 |
| html\展示版                                                                             |        102 |      2,896 |        145 |        444 |      3,485 |
| html\展示版\政府视角                                                                        |         27 |        744 |         25 |        135 |        904 |
| html\展示版\能源企业视角                                                                      |         14 |        372 |         59 |         57 |        488 |
| html\展示版\能源客户视角                                                                      |         38 |        995 |         41 |        153 |      1,189 |
| html\展示版\能源服务市场                                                                      |         19 |        620 |         18 |         76 |        714 |
| html\控制版                                                                             |         12 |        736 |          0 |         59 |        795 |
| html\监控版                                                                             |        187 |      5,019 |        729 |        777 |      6,525 |
| html\监控版\能源交易                                                                        |         26 |        684 |        251 |        110 |      1,045 |
| html\监控版\能源交易\交易总览                                                                   |         13 |        353 |        233 |         51 |        637 |
| html\监控版\能源交易\交易详情                                                                   |         11 |        269 |         16 |         51 |        336 |
| html\监控版\能源分析                                                                        |         42 |      1,116 |        177 |        171 |      1,464 |
| html\监控版\能源分析\企业分析                                                                   |         10 |        270 |         10 |         39 |        319 |
| html\监控版\能源分析\区域分析                                                                   |         10 |        262 |         19 |         39 |        320 |
| html\监控版\能源分析\客户特征分析                                                                 |          7 |        184 |         60 |         35 |        279 |
| html\监控版\能源分析\异常用能分析                                                                 |         11 |        286 |         84 |         42 |        412 |
| html\监控版\能源应用                                                                        |         13 |        347 |          8 |         52 |        407 |
| html\监控版\能源服务                                                                        |         34 |        825 |        144 |        139 |      1,108 |
| html\监控版\能源监控                                                                        |         17 |        443 |         16 |         70 |        529 |
| html\监控版\能源监控\企业监控                                                                   |          8 |        207 |          7 |         29 |        243 |
| html\监控版\能源监控\全景监控                                                                   |          7 |        183 |          7 |         30 |        220 |
| html\监控版\能源管理                                                                        |         27 |        825 |         18 |        121 |        964 |
| html\监控版\驾驶舱                                                                         |         21 |        544 |        108 |         81 |        733 |
| js                                                                                   |        314 |    131,973 |      5,541 |      7,158 |    144,672 |
| js\.vs                                                                               |          2 |         11 |          0 |          0 |         11 |
| js\Tool                                                                              |          3 |        570 |        150 |         11 |        731 |
| js\展示版                                                                               |        111 |     39,782 |      1,736 |      2,718 |     44,236 |
| js\展示版\政府视角                                                                          |         31 |     11,507 |        519 |        524 |     12,550 |
| js\展示版\能源企业视角                                                                        |         16 |      4,815 |        203 |        388 |      5,406 |
| js\展示版\能源客户视角                                                                        |         41 |     16,894 |        719 |      1,265 |     18,878 |
| js\展示版\能源服务市场                                                                        |         23 |      6,566 |        295 |        541 |      7,402 |
| js\控制版                                                                               |         12 |        304 |         37 |         61 |        402 |
| js\监控版                                                                               |        174 |     73,459 |      3,456 |      4,335 |     81,250 |
| js\监控版\能源交易                                                                          |         24 |     13,287 |        370 |        570 |     14,227 |
| js\监控版\能源交易\交易总览                                                                     |         13 |      4,029 |        280 |        361 |      4,670 |
| js\监控版\能源交易\交易详情                                                                     |         11 |      9,258 |         90 |        209 |      9,557 |
| js\监控版\能源分析                                                                          |         39 |     20,503 |        825 |      1,207 |     22,535 |
| js\监控版\能源分析\企业分析                                                                     |         10 |      8,987 |        375 |        411 |      9,773 |
| js\监控版\能源分析\区域分析                                                                     |         11 |      5,419 |        178 |        381 |      5,978 |
| js\监控版\能源分析\客户特征分析                                                                   |          7 |      1,985 |         93 |        112 |      2,190 |
| js\监控版\能源分析\异常用能分析                                                                   |         11 |      4,112 |        179 |        303 |      4,594 |
| js\监控版\能源应用                                                                          |         13 |      4,609 |        434 |        287 |      5,330 |
| js\监控版\能源服务                                                                          |         34 |      9,604 |        654 |        733 |     10,991 |
| js\监控版\能源监控                                                                          |         15 |      7,777 |        276 |        424 |      8,477 |
| js\监控版\能源监控\企业监控                                                                     |          8 |      3,750 |        125 |        195 |      4,070 |
| js\监控版\能源监控\全景监控                                                                     |          7 |      4,027 |        151 |        229 |      4,407 |
| js\监控版\能源管理                                                                          |         28 |     10,285 |        728 |        714 |     11,727 |
| js\监控版\驾驶舱                                                                           |         21 |      7,394 |        169 |        400 |      7,963 |
| json                                                                                 |          3 |     15,543 |          0 |          0 |     15,543 |
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                             | language   | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\.idea\Li_zhi_charts.iml              | XML        |         12 |          0 |          0 |         12 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\.idea\misc.xml                       | XML        |          6 |          0 |          0 |          6 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\.idea\modules.xml                    | XML        |          8 |          0 |          0 |          8 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\.idea\workspace.xml                  | XML        |        435 |          0 |          0 |        435 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\Horizontal_histogram.css         | CSS        |         36 |          5 |          1 |         42 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\Table_css.css                    | CSS        |         56 |          2 |          0 |         58 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\Tool\地区三级联动.css                  | CSS        |        278 |         54 |         41 |        373 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\Tool\地区三级联动展示版.css               | CSS        |        282 |         54 |         43 |        379 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\Tool\导航小地图.css                   | CSS        |          7 |          4 |          1 |         12 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\Vertical_histogram.css           | CSS        |         36 |          5 |          1 |         42 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\animate.min.css                  | CSS        |          1 |          0 |          0 |          1 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\base.css                         | CSS        |         78 |         18 |         22 |        118 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\home_page.css                    | CSS        |         12 |          0 |          1 |         13 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\hotMap.css                       | CSS        |         22 |          0 |          1 |         23 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\line_chart.css                   | CSS        |         36 |          5 |          1 |         42 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\main.css                         | CSS        |          9 |          0 |          2 |         11 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\swiper-3.4.2.min.css             | CSS        |          1 |         14 |          1 |         16 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\test.css                         | CSS        |         19 |          0 |          2 |         21 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\base.css                     | CSS        |         91 |         25 |         14 |        130 |
